order_item_id,order_id,product_id,quantity,unit_price,created_at,updated_at
1,1001,101,1,999.00,2023-01-20,2023-01-20
2,1002,102,1,849.00,2023-01-25,2023-01-25
3,1003,103,1,1299.00,2023-02-05,2023-02-05
4,1004,105,1,89.99,2023-02-10,2023-02-10
5,1004,106,1,79.99,2023-02-10,2023-02-10
6,1005,106,1,79.99,2023-02-20,2023-02-20
7,1006,107,1,149.99,2023-03-05,2023-03-05
8,1006,108,1,399.99,2023-03-05,2023-03-05
9,1007,104,1,1099.00,2023-03-15,2023-03-15
10,1008,105,1,89.99,2023-03-25,2023-03-25
11,1008,107,1,149.99,2023-03-25,2023-03-25
12,1009,108,1,399.99,2023-04-01,2023-04-01
13,1010,105,1,89.99,2023-04-10,2023-04-10
