order_id,customer_id,order_date,order_status,payment_method,shipping_method,order_total,shipping_cost,tax_amount,discount_amount,coupon_code,created_at,updated_at
1001,1,2023-01-20,delivered,credit_card,standard,999.00,9.99,79.92,0.00,,2023-01-20,2023-01-25
1002,2,2023-01-25,delivered,paypal,express,849.00,19.99,67.92,50.00,WELCOME10,2023-01-25,2023-01-28
1003,1,2023-02-05,delivered,credit_card,standard,1299.00,0.00,103.92,0.00,,2023-02-05,2023-02-10
1004,3,2023-02-10,delivered,credit_card,standard,169.98,5.99,13.60,0.00,,2023-02-10,2023-02-15
1005,4,2023-02-20,shipped,paypal,express,79.99,9.99,6.40,8.00,SAVE10,2023-02-20,2023-02-22
1006,2,2023-03-05,delivered,credit_card,standard,549.98,7.99,44.00,55.00,LOYALTY15,2023-03-05,2023-03-10
1007,6,2023-03-15,delivered,credit_card,express,1099.00,19.99,87.92,0.00,,2023-03-15,2023-03-18
1008,7,2023-03-25,pending,paypal,standard,229.98,5.99,18.40,0.00,,2023-03-25,2023-03-25
1009,1,2023-04-01,delivered,credit_card,standard,399.99,0.00,32.00,0.00,,2023-04-01,2023-04-05
1010,8,2023-04-10,cancelled,credit_card,standard,89.99,9.99,7.20,0.00,,2023-04-10,2023-04-10
